pub_date,city,address,title,owner,contractor,engineer,cert_url
"
  2011-02-24
","Burlington, Ontario","5010 Pinedale Ave., Burlington, Ontario ","Shell Construction of Building ""F""",First Capital Management LP,VCL Construction,Mario Germain,https://canada.constructconnect.com/dcn/certificates-and-notices/E9098EF1-E3F4-4687-BF78-4FD400E58896
"
  2011-02-24
",City of Hamilton,"190 King William Street, Hamilton, Ontario L8R 1A8 ",Theatre Aquarius Roof Replacement,Theatre Aquarius,Atlantic Roofers Ontario LTD.,david premi Architects inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/C361591D-549E-4149-9A31-6935DF86D103
"
  2011-02-24
",City of Ottawa (Former Township of Goulborn), ,"The completion of the Phases 1 and 2, including top lift asphalt, concrete sidewalk and curb work on Allgrove Way, Baywood Drive, and Upcountry Drive, and a part of Hartsmere Street, all located within the Upcountry (Stittsville South) Subdivision, in accordance with the approved construction drawings issued by Trow Associates Inc., reference job# OTCD00016520A",Stittsville South Holdings Inc.,Thomas Cavanagh Construction Limited,Trow Associates Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/0C6E3107-D21E-4449-9050-27307ADDEB72
"
  2011-02-24
","City of Toronto, East York District","30 Northline Road, Toronto ",Electrical Upgrades - Winter Camp,City of Toronto,B&B Electric Co.,Suri & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/F4928F2F-B8C4-4914-8846-4A4497A75BB1
"
  2011-02-24
","240 Scarlett Road, Toronto, Ontario M6N 4X4", ,Chiller and Cooling Tower Replacement,York Condominium Corporation #271,Johnson Controls #T6067,M & E Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/ADDA76D5-F37C-4397-8F57-4D75498E7113
"
  2011-02-24
",Waterloo Region,"170 Water Street North, Cambridge, Ontario is located in the City of Cambridge, within the Regional Municipality of Waterloo ",The Waterscapes (Cambridge) Condominium Project,Haastown Holdings (Cambridge) Inc.,Kidd Mechanical Inc.,Haastown Holdings (Cambridge) Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/855B2B2B-31A7-4F37-B827-7BCEBFD8629A
"
  2011-02-24
",City of Burlington,"426 Brant Street,  Burlington ","Smith Avenue Reconstruction, Contract 1009",City of Burlington,King Paving & Materials Co.,City of Burlington,https://canada.constructconnect.com/dcn/certificates-and-notices/58EFA575-288C-4246-A024-47BDA5D25C22
"
  2011-02-24
",Halton Region,City of Burlington ,Window Replacement,Nelson Cooperative Homes Inc.,Everlast Windows and Doors Incorporated,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/7EB49A83-B024-4BE9-8BE3-AC57E3B97181
"
  2011-02-23
","MTO  Cookstown Patrol Yard, Cookstown, Central Region", ,Contract # 2010-2701 Design and Construction of New Brine/Salt/Sand Storage Structure with Patrol Yard Improvements at Cookstown Patrol Yard,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,1490668 Ontario Inc. (o/a Tower Construction),nan,https://canada.constructconnect.com/dcn/certificates-and-notices/7AF4FA96-64EC-4115-B315-CC9CAD2CB1A9
"
  2011-02-23
",City of Toronto,200 Front Street W ,Valve Modifications on cooling and condensor piping,Cadillac Fairview,Black & McDonald Limited Southern Ontario Region,Don Harvey,https://canada.constructconnect.com/dcn/certificates-and-notices/8E88E9BE-2C89-4903-A1A2-7B610FE0CD64
"
  2011-02-23
",Pickle Lake Area, ,Contract # 2010-6306 Clearing East of Thunder Bay - Pickle Lake Area,Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Premier North Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/37329609-1C8A-4A11-A035-0AA1F4691E45
"
  2011-02-23
",City of Toronto,"6 Ancroft Place, Toronto, Ontario M4W 1M4 ",Renovation of the Interior of Unit 6,Ancroft Place Inc.,Formstructures Ancroft Place Inc.,L.M. Real Estate Consulting,https://canada.constructconnect.com/dcn/certificates-and-notices/4492F17E-D13C-46DE-AA01-A5E5B11F05FC
"
  2011-02-23
",Municipality of West Nipissing,"225 Holditch  Street, Suite 101, Sturgeon Falls, Ontario P2B 1T1 ",Contract 200902 - Sturgeon Falls Water Tower Replacement,Municipality of West Nipissing,Greatario Engineered Storage Systems,AECOM Canada Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/0FA85041-1898-461C-B4F8-854B56C52605
"
  2011-02-23
",City of Hamilton,1280 Main St. West (McMaster Divinity College) ,Interior Renovations,McMaster Divinity College,Berkim Construction Inc.,Reinders & Rieder Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/D20D8A2B-2FB6-44D1-85F4-90F9FE87CEBF
"
  2011-02-23
",Wellington  County,City of  Guelph ,"Reconstruction of road and municipal services, 2010 works",City of Guelph,Bel-Air Excavating & Grading Ltd.,The Walter Fedy Partnership,https://canada.constructconnect.com/dcn/certificates-and-notices/6EC87077-CAB4-4C36-A8FE-F3197A6D269E
"
  2011-02-23
",Huron County,Town of Goderich ,Rehabilitation Work 2010 at Huron Historic Gaol,Corporation of the County of Huron,Roof Tile Management Inc.,Allan Avis Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/4FF9926C-FD43-402C-8329-6BFBDB899891
"
  2011-02-23
",City of Guelph,Maltby Road Reconstruction ,Maltby Road Reconstruction - Crawley Road to Gordon Street (2010 Work),Corporation of the City of Guelph,Cox Construction Limited,AECOM,https://canada.constructconnect.com/dcn/certificates-and-notices/D6D68219-E647-4835-9BBE-34698CF3FB0E
"
  2011-02-23
","Hamilton, Ontario",66 Bay Street South ,P1 level parking garage repairs,WSCC 381,Canmar Contracting Limited,Halsall Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/DCFEBAEB-6055-408E-81D4-2752013FCA4E
"
  2011-02-23
",City of Orillia,"354 Atherley Road, Orillia, Ontario ","Ceramic Tile, Carpet, Granite and Marble",Casino Bay Development Corp.,Selyan's Oriental Rugs Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/FCD09CE2-FCBA-4422-A56A-538D9188ECE6
"
  2011-02-23
","North York, Toronto","Scott Library, York University, 4700 Keele Street, Toronto ",Renovations at the 2nd floor of the Scott Library,York University,Trumbley & Hampton Inc.,Levitt Goodman Architects Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/430FF03A-D462-48AE-8026-46DA7F2AB23C
"
  2011-02-23
",City of Toronto,"1039 Danforth Road, Toronto, ON  M1K 1J8 ","Site upgrade to gas station including supply and installation of new piping, tanks, dispensers, electrical, building, curbing, sidewalk and asphalt",2212720 Ontario Ltd.,Facility Maintenance and Construction Inc.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/C1880BF4-CDA1-49FA-B441-390EA01864E7
"
  2011-02-23
",Mississauga,3 Robert Speck Parkway ,Interior Renovation,Reynolds + Reynolds,Blackwood Miller Ltd.,Stephen Eastwood,https://canada.constructconnect.com/dcn/certificates-and-notices/58BE39D3-5D8F-4FD9-ACFE-708593C8B4BC
"
  2011-02-23
",Niagara Region, ,"Contract # 2010-2017 QEW Garden City Skyway from Cushman Road W Bunting Road, Site No. 18111, Substructure: West Abutment, Piers W30, W29, W28, W27, W26, W13, W12 & W11; Structural Steel Repair: W30 to W5",Her Majesty the Queen in right of Ontario as represented by the Minister of Transportation,Brennan Paving Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/85DE8392-D06D-455F-BD06-8A1D5CCB767D
"
  2011-02-23
",Bruce County,Town of South Bruce Peninsula ,Wiarton Community Centre and Arena 2010 Renovations,The Town of South Bruce Peninsula,H. Bye Construction Limited,Stafford Haensli Architects Incorporated,https://canada.constructconnect.com/dcn/certificates-and-notices/A592BA24-B81B-48BE-8806-B4C5DFEB78AB
"
  2011-02-23
",Township of Asphodel-Norwood,King St. Reconstruction ,"Contract No. 29-2635, King St. Reconstruction, Township of AsphodelNorwood",Township of Asphodel-Norwood,Balterre Contracting Ltd.,G.D. Jewell Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/9959D0EA-146C-45F9-ADED-C158C34B8E44
"
  2011-02-23
","Town of Echo Bay, McDonald Township","186 Lake Street North, P.O. Box 250, Echo Bay, Ontario P0S 1C0 ",To construct a new church building and site work,Faith Baptist Church,Faith Baptist Church,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/2D9D8333-B047-4DA4-A1B5-245D6AF9441C
"
  2011-02-23
",City of Etobicoke,"5, 25, 35 Richgrove Drive,  Etobicoke, Ontario M9R  0A3 ",HVAC work at Minto Richgrove,Minto Richgrove Land Corp.,Cooltech Home Comfort,Minto Richgrove Land Corp.,https://canada.constructconnect.com/dcn/certificates-and-notices/50BADE68-C00D-4A73-9F7F-268F53C03AE2
"
  2011-02-23
",Town of Caledon,"12129 Highway 50, ON L7E 1M1 ",New Construction of 8 Bay Coin Car Wash,2033665 Ontario Limited,2033665 Ontario Limited (Lisgar Construction Company Co-Project Manager),Wes Surdyka Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/4067176B-16BB-408D-9E2A-090990848252
"
  2011-02-23
",Halton  Region,City of Burlington ,Construction of 5 storey building,New Horizon Homes Times Square Inc.,New Horizon Homes,Hallex Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/DBF84613-DC15-410A-AFAC-0C6AE898A685
"
  2011-02-23
",City of Kawartha Lakes,"Old Mill Park, Kent Street East, Lindsay, Ontario ","Old Mill Park Landscaping (Contract 201008 CT) including paving, concrete work, electrical, planting and etc.",City of Kawartha Lakes,Ron Robinson Limited,The Landplan Collaborative Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/CC7CBA55-F15B-4547-9A81-A01DB683C241
"
  2011-02-23
",Town of New Tecumseth,"203 Victoria Street East, Alliston, ON ",Fire Alarm Upgrade,Simcoe County District School Board,NSE 2000 Inc.,Daycore Engineering INC.,https://canada.constructconnect.com/dcn/certificates-and-notices/83344298-EDDE-4948-AC08-6D8B63A35103
"
  2011-02-23
",Peel Region,City of  Mississauga ,New Custom Home,Eva Cromie,Woodcastle Homes Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/3F71054A-6295-4C3F-B0A1-9870E95DCCFE
"
  2011-02-23
",City of Burlington,"5166 / 5170 Lakeshore Rd., Burlington, ON ",Underground Parking Structure Roof Slab Rehabilitation - Phase II,1213763 Ontario Inc. c/o Vertica Residents Services,Delso Restoration Limited,Davroc & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/3F73FC5C-E9B8-4545-8F31-C619B9852E54
"
  2011-02-23
","Coe Hill, Ontario","Upgrading of the Wollaston Beach Park (New Change House Facility), Located at 91 Beach Lane, Coe Hill, Ontario ",Tender No. WOL-10-4000 - Township of Wollaston - New Change House/Washroom Facility,Township of Wollaston,LBR Contracting Limited,G.D. Jewell Engineering Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/F685DBA1-10E5-4CE0-8AC6-893F9C9C7BF8
"
  2011-02-23
",Sudbury District and Nipissing District, ,"Contract #2010-5138 Micro-Surfacing on Hwy 6, 11, 17 and 64 various locations",Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Miller Paving Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/88EDAB21-B294-438F-A7EC-184AFDE12872
"
  2011-02-23
",Township of Essa,"8529 County Road 10, Angus, Ontario ",Banquet Hall / Viewing Area Addition & Renovation to The Angus Recreation Centre,The Township of Essa,Deciantis Construction Limited,"Peter Wills, P.Eng., AECOM Canada Ltd.",https://canada.constructconnect.com/dcn/certificates-and-notices/B18BDDE4-80B6-46FC-84AD-339F3176A45F
"
  2011-02-23
","Kemptville, Ontario", ,"Contract #: 2009-4012 Construction of a new culvert at Barnes Creek and under Highway 416 by tunnelling using an Open-Face Tunnel Boring Machine, lining of existing Corrugated Steel Pipe (CSP) culvert and the related works",Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Louis W. Bray Construction Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/7A2482E3-4024-4F31-9815-95E64904FE38
"
  2011-02-23
",City of Burlington,"426 Brant Street,  Burlington ","Cedar Ave. and Edgewater Cres. Resurfacing, Contract 10-51",City of Burlington,King Paving & Materials Co.,City of Burlington,https://canada.constructconnect.com/dcn/certificates-and-notices/FD9A4486-6854-4D83-B99F-882CA454A4A8
"
  2011-02-23
",Simcoe County,"Holland Street West, Sideroad 10, County Road 88, Town of Bradford West Gwillimbury ","Contract No. C10-03 - Dissette Street and Line 8, Reconstruction and Widening, for only those works completed up to December 31, 2010 as indicated on P.C. #7",The Corporation of the Town of Bradford West Gwillimbury,North Rock Group Limited,R.J. Burnside & Associates Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/5FFD2EFE-7A8D-4EDB-AC6A-8AEB7FB418FF
"
  2011-02-23
",Halton Region,Town of Milton ,"Contract No. 07102 Main Street (Milton) Corp. - Phase Three Heathwood Subdivision - Aird Court, Phase 3",Main Street (Milton) Corp.,TACC Construction Ltd.,The Municipal Infrastructure Group Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/67AA0CB2-0726-47F5-AA69-B12AEEDBED2E
"
  2011-02-23
",Town of Caledon,"12080 Albion Vaughan Road,  Bolton, ON  L7E 1S7 ",New Construction of Kia Dealership,2033665 Ontario Limited,2033665 Ontario Limited (Lisgar Construction Company Co-Project Manager),Wes Surdyka Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/BA27822F-E56F-4A6A-BBFC-EF6CFEFFFBCB
"
  2011-02-23
",Durham Region,Town of Ajax ,"Castlefields Phase V; Contracts I - Site Preparation, Rough Grading; II - Underground Servicing; III Base Roadworks",Medallion Developments Inc.,C.D.C. Contracting,"Sernas Associates, A Member of the Sernas Group Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/B28BE1A8-06EA-4EC4-BDAC-7AC99CF453F6
"
  2011-02-23
","Ottawa, Ontario",The Ottawa Hospital Regional Cancer Centre - TOH  Site ,TOH Regenerative Medicine & Vision Lab Level 6 CCW,The Ottawa Hospital,Bradford Construction,Vermeulen Hind Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/894E89A5-F3CF-4B7E-8DC7-7DF35277F2AF
"
  2011-02-23
","Township of Scarborough, County of York","2625B Weston Road, Weston, ON ","Renovations to Canadian Tire Store #119, 2625B Weston Road, Weston, ON","Canadian Tire Real Estate Limited / Canadian Tire Corporation, Limited",Penalta Group,RAI Architect Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/A4BC393D-7F4B-40C0-A6DF-D63EAE23322C
"
  2011-02-23
",Grey County, ,"Contract #2009-3015 Rehabilitation of Highway 26 by milling and pulverizing for the entire project limits. Widen the existing lanes from 3.5 m to 3.75 m. Construction of new passing lanes. Re-alignment of side roads, intersection improvement. Rehabilitation of structural culverts. Drainage Improvement, Reinstatement of shale bins. Entrance modifications",Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Miller Paving Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/65287458-FDA9-4F6D-B88B-7F91787A0618
"
  2011-02-23
",City of Toronto,"Sports Pavilion, 75 Carl Hall Road, Downsview Park, Toronto, Ontario ",Construction of a new Washroom/Change Room/Concession Building,Parc Downsview Park,Maracon Construction Limited,Natale and Scott Architects,https://canada.constructconnect.com/dcn/certificates-and-notices/8068021A-FDA7-49A3-B624-833D3A6C5893
"
  2011-02-23
",Township of Tay,Outdoor Rink Roof Construction ,Construction of the Rink Roof Structure at the Tay Community Rink in Port McNicoll at Talbot Park,The Corporation of the Township of Tay,W.S. Morgan Construction Ltd.,"Nick Colucci, P.Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/5BB4DB4B-A534-4743-B942-E0C9C72280A6
"
  2011-02-23
",City of  Toronto,"447 Port Union Road,  West Hill, Ontario M1C 2L6 ",To construct an addition to an existing church,Grace Presbyterian Church,Grace Presbyterian Church,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/4645BD0B-50F1-4843-A2E3-A729E3E03F8E
"
  2011-02-22
",Prescott/Russell Counties,"Voyageur Provincial Park, 1313 Front Road, Chute a Blondeau, Ontario K0B 1B0 ",Reinstatement of Sewage Lagoon Berms at Voyageur Provincial Park,"Ontario Parks, Ministry of Natural Resources",Cruickshank Construction Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/6CBDA864-EDCA-4881-B72D-C8132C2446AA
"
  2011-02-22
",Thunder Bay District, ,"Contract # 2010-6009 Grading, Drainage, Granular Base and Hot Mix Paving. Hwy 105, from Stone Creek (Dixie Lake Rd) Northerly 17.0 km to Hwy 618 Hwy 125, from Hwy 105 northerly 13.6 km to Cochenour",Her Majesty The Queen in Right of Ontario as represented by the Minister of Transportation,Pioneer Construction Inc. (Head Office),nan,https://canada.constructconnect.com/dcn/certificates-and-notices/74DAA47D-8311-431D-9F28-CC48D3BB5F29
"
  2011-02-22
","Toronto, Ontario","Commerce Court West, 199 Bay Street,  Toronto, Ontario  M5L 1A9 ","Interior Office Tenant Improvements, Floors 32 to 39",Blakes Services Incorporated,Marant Construction Limited,"HOK, Inc.",https://canada.constructconnect.com/dcn/certificates-and-notices/D5D7620A-8014-4246-B6DE-6B26CE557F1C
"
  2011-02-22
",Municipality of Sioux Lookout,"60-B Seventh Avenue, Sioux Lookout, Ontario ",Construction of a new Hostel building,Sioux Lookout First Nations Health Authority,Carillion Construction Inc.,Friesen Tokar Architects + Landscape + Interior Designers,https://canada.constructconnect.com/dcn/certificates-and-notices/E7304753-0B2B-47DD-BB76-D02109004FF0
"
  2011-02-22
",Peel Region,City of Brampton ,Electrical Distribution and Streetlighting,Great Gulf (Brameast) Ltd.,Trans Power Utilities Contractors,Nexgen Utilities,https://canada.constructconnect.com/dcn/certificates-and-notices/63535771-9428-45CA-8E31-B6C550B6F05D
"
  2011-02-22
",Waterloo Region,City of Cambridge ,The Reconstruction of Block 27 Speed Island Trail,The Corporation of the City of Cambridge,Network Site Services,The Corporation of the City of Cambridge,https://canada.constructconnect.com/dcn/certificates-and-notices/AC600EAF-6536-4CF1-BF6F-8851E377BD91
"
  2011-02-22
","Toronto, Ontario","180 Markham Road, M1M  2Z9, Toronto, Ontario ",Balcony Repairs Waterproofing & New Railings Installation,York Condominium Corporation #41,Brook Restoration Ltd.,H. Rentsch Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/314918F0-2B0C-4852-8F7B-0042A933B65B
"
  2011-02-22
","Collingwood,  Ontario","44 Hurontario Street, Collingwood, Ontario ",2010 Roof Cornice and Gutter Repair,SNC-Lavalin Operations and Maintenance Inc.,Triumph Aluminum and Sheetmetal Inc.,Read Jones Christoffersen Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/F0146BF3-7533-4AE1-B179-EE7E10C6673E
"
  2011-02-22
","Port Hope, Ontario",1 Eldorado Place ,Boiler 2 BMS/Combustion Control Retrofit. Replacement of Plant Common & Liquid Management Controls,Cameco Corporation,Durham Combustion Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/48DF312B-8E20-4969-97EA-8B2D6ABC76A4
"
  2011-02-22
",City of Mississauga,"2470 Hurontario Street, Mississauga, Ontario ",Shopper's Drug Mart Building Interior,Embee Properties Limited Attn: Tony Binetti,Royalty General Construction Attn: Greg Flagler,"PDA Architects, Attn: Sidney Paul",https://canada.constructconnect.com/dcn/certificates-and-notices/BD86A3ED-5226-4762-A0A5-2DCDEAD1369F
"
  2011-02-22
",City of Ottawa, ,"ROP10-086 for the In-line Inspection of 400mm diameter Forcemain at Hazeldean-Glen Cairn Area, Ottawa, ON",City of Ottawa,PICA Pipeline Inspection & Condition Analysis Corp. Division of Russell NDE Systems Inc.,"Anjan Joshi, P.Eng.",https://canada.constructconnect.com/dcn/certificates-and-notices/A649D2E9-BFA3-471F-B283-EBC6480DA20C
"
  2011-02-22
",City of Brantford,"627 Colborne Street East, Brantford, Ontario N3S 3M8 ",Upgrade Existing Science Labs and Computer Room,Grand Erie District School Board,STM Construction Ltd.,Grand Erie District School Board,https://canada.constructconnect.com/dcn/certificates-and-notices/56D45DBF-A37E-4AED-B4FB-C76BD46F7655
"
  2011-02-22
",York Region,Town of Whitchurch-Stouffville ,Electrical Distribution and Streetlighting,Stouffville Auto Mall,Robert B. Somerville,Nexgen Utilities,https://canada.constructconnect.com/dcn/certificates-and-notices/9E95B727-46FC-46AB-A1AF-E8158701F297
"
  2011-02-22
",City of Toronto,"120 Adelaide Street West, 15th Floor, Toronto ",Leasehold Improvements for Defense Limited Partnership Law Offices,Defense Limited Partnership,TriAxis Construction Limited,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/9C815206-6F84-4FE7-9A2F-4BF77E11E97A
"
  2011-02-22
",Wellington  County,City of Guelph ,Contract No. 10-144 - Guelph Transit Parking Lot Reconstruction,City of Guelph,Drexler Construction Limited,"Steve Conway, CET (rcsi) Gamsby and Mannerow Limited",https://canada.constructconnect.com/dcn/certificates-and-notices/6CF3B2BF-26B8-4CBF-A340-890693B1DDC4
"
  2011-02-22
",Durham Region,City of Pickering ,"Roof Replacement at Dunbarton High School - Roof Areas 3.0, 3.1, 3.2, 3.3, 3.4, 4.0, 4.1, 4.2, 4.3",The Durham District School Board,BothwellAccurate Co. (2006) Limited,Weatherproofing Technologies Canada - Div. of Tremco,https://canada.constructconnect.com/dcn/certificates-and-notices/BFFC3089-A29C-4783-A230-108A8D406505
"
  2011-02-22
",City of Bowmanville - Municipality of Clarington,2310 Regional Highway #2 Bowmanville - ON - L1C 0K5 ,Construction of Swiss Chalet location number 1206,Cara Operations Ltd.,Marna Construction Ltd.,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/38BF7BA6-7444-4662-ACC0-233F0449BD55
"
  2011-02-22
",Town of Milton,"491 Steeles Avenue East, Milton, Ontario L9T 1Y7 ",Milton Courthouse Door Replacement,"Ontario Realty Corporation/Senior Vice President, Real Estate Development & Project Services",GEN-PRO,"MMH Architects Inc., Architects and Planning Consultants",https://canada.constructconnect.com/dcn/certificates-and-notices/65C52206-85DC-413C-9CC9-0B167A5474ED
"
  2011-02-22
",City of Toronto,"9 Bannerman Street, Toronto ",St. Fidelis Retaining Wall and Site Grading Remediation,Toronto Catholic District School Board,Bevcon Construction and Paving Limited,Fabian Papa & Partners Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/880415B1-5753-467C-85E2-F1D0D72E7FD0
"
  2011-02-22
",City of Brampton,"26 Hanover Road, Brampton, ON ",Interior Walls Suite No. 109,P.C.C. No. 291 c/o DEL Property Management,Alliance Environmental,Davroc & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/DE3F8664-1A8B-4E9F-9824-C257E9EDC931
"
  2011-02-22
",Elgin County,"Elgin-Middlesex Booster Station, 490 South  Edgeware Road, St. Thomas, Ontario N5P 4N3 ",Aylmer Surge Anticipating Valve Installation,Aylmer Secondary Water Supply System c/o The Township of Malahide,Dielco Industrial Contractors Limited,Dillon Consulting Limited,https://canada.constructconnect.com/dcn/certificates-and-notices/42EF8FCD-10C3-4D7C-9222-69D774D68052
"
  2011-02-22
",Peel Region,City of Brampton ,"Clearing & Striping, Earthworks, Underground Sewers and Roads to Base Asphalt",Kaneff Properties Limited,DomMeridian Construction Ltd.,Schaeffer & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/37824521-AB22-4A19-9B21-3F9387DA5F0E
"
  2011-02-18
",City of Toronto,35 Glenaden Avenue East (a.k.a. 2 Ballacaine Drive) ,Renovation and expansion,Ryk Stryland and Allison Stryland,Glenaden Homes,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/3C8C5B0F-8541-45A0-92B6-2A85C73540F1
"
  2011-02-18
",Peel Region,Town of Caledon ,"Contract 1 Underground Services and Roads to Base Course Asphalt (Up to CPR No. 4 issued on October 28, 2010)",South Fields II Community Inc. - Stage II,B. Gottardo Site Servicing Ltd.,David Schaeffer Engineering Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/5C0BABC2-C05E-4B80-B600-4ED3E7398109
"
  2011-02-18
",Peel Region,"9445 Airport Road, 3rd Floor, Brampton, Ontario L6S 4J3 ","New Watermain Installation on Goreway Drive, Project 08-1109, Document 2010-173T in City of Brampton",The Regional Municipality of Peel,Mardave Construction 2007 Ltd.,Trow Associates Inc./Rick Robson,https://canada.constructconnect.com/dcn/certificates-and-notices/FA074F0D-1E67-4C98-8CBA-1C16B4E08BA6
"
  2011-02-18
",City of Toronto,"200 Elizabeth Street, Toronto, ON M5G  2N2 ",Refurbishing of Eaton Wing Fans 8 and 10,"University Health Network, Toronto General Hospital",Modern Niagara Toronto Inc.,H.H. Angus & Associates Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/83058723-E793-40E9-98F0-9C962DFAA2C4
"
  2011-02-18
",City of Mississauga,4185/4205 Shipp Drive ,Expansion Joint Waterproofing & Various Minor Repairs,PCC No. 341 c/o Brookfield Residential Services,Smid Construction Limited,Charles Sopher Consulting Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/4EE57A39-72D4-4CE9-BA7A-122DC095FD99
"
  2011-02-18
",City of  Toronto,"150 Heath Street West, Toronto,  ON  M4V 2Y4 ",Wall Repairs,York Condominium Corporation No. 328,J. McBride & Sons Ltd.,Belanger Engineering,https://canada.constructconnect.com/dcn/certificates-and-notices/A41C7ABE-22EF-40DD-BF92-1D95BA48BC91
"
  2011-02-18
",City of Toronto,Dalesford Townhouse ,Electrical Distribution and Streetlighting,Berkley Homes (Dalesford) Inc.,Robert B. Somerville,Nexgen Utilities,https://canada.constructconnect.com/dcn/certificates-and-notices/56FC8A46-C47B-46A2-A7E5-C55F531130F8
"
  2011-02-18
",Peel Region,City of Mississauga ,Unisource Mississauga Coldstorage Retrofit Addition,Unisource Canada Inc.,Coldbox Builders,nan,https://canada.constructconnect.com/dcn/certificates-and-notices/75E9DA15-303C-41C1-ABB5-C09BB2EE0664
"
  2011-02-18
",City of Cambridge,John Dolson Pool ,Accessibility Retrofit,City of Cambridge,Collaborative Structures Limited,Stantec Consulting Ltd.,https://canada.constructconnect.com/dcn/certificates-and-notices/4FF26317-7DF8-4CAC-8EB6-58812F0B17E9
"
  2011-02-18
",Town of Milton,"405 James Snow Parkway, Milton,  Ontario ",A new fire station,Town of Milton,BECC Construction Group Ltd.,ZAS Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/97F6F66A-BE49-4CB8-883A-14F2E9358A55
"
  2011-02-18
",City of Cambridge,"25 Reuter Drive, Cambridge, Ontario ",RIM Cambridge 1 - MIL Revisions,2113008 Ontario,Academy Construction (1996) Ltd.,SRM Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/B5AC2C1C-97B5-4736-BF93-D03509C57C04
"
  2011-02-18
",Town of Markham,"255 Bayview Fairways Drive, Markham, Ontario  L3T 2Z6 ",Bayview Fairways Public School - Barrier Free Accessibility Upgrades,York Region District School Board,Rutherford Contracting,Etude Architects Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/304317CB-1F78-4416-B9F9-55A5F8157144
"
  2011-02-18
",Municipality of North Perth,"105 Main Street West, Listowel, Ontario ",Interior Renovation to Existing Bank,Brookfield LePage Johnson Controls Authorized agent,Corporate Contracting Services Ltd.,HOK Canada Inc.,https://canada.constructconnect.com/dcn/certificates-and-notices/530FD994-FB20-443E-AC68-E00667CEF1DF
"
  2011-02-18
",Algoma District,City of Sault Ste. Marie ,Sault Ste. Marie Airport Development Corporation Water Treatment System Upgrades,The Sault Ste. Marie Airport Development Corporation,Jobst Construction Ltd.,Kresin Engineering Corporation,https://canada.constructconnect.com/dcn/certificates-and-notices/1F87F588-F9FF-4295-B09F-DC03CEE3DBF3
